Crop Type,Soil Type,Temperature (°C),Humidity (%),Soil Moisture (%),Rainfall (mm),Water Requirement (L/sq.m)
Wheat,Silt,36.06,39.87,85.62,229.67,0.0
Tomato,Peat,39.07,73.48,35.28,188.3,0.0
Maize,Clay,28.89,33.96,24.86,218.02,0.0
Rice,Loamy,22.58,59.91,46.68,27.98,0.26
Tomato,Sandy,42.93,11.79,88.21,119.3,0.73
Wheat,Peat,26.98,40.18,32.13,114.17,0.0
Tomato,Silt,35.1,44.77,13.45,247.85,0.0
Rice,Loamy,30.6,17.04,38.78,254.65,0.0
Maize,Clay,27.54,42.99,41.78,42.84,0.95
Cotton,Loamy,31.21,47.37,76.87,83.03,0.0
Barley,Clay,35.07,58.48,30.31,18.91,2.67
Soybean,Sandy,18.02,68.77,85.98,105.5,0.0
Maize,Peat,26.74,87.71,97.55,216.2,0.0
Soybean,Loamy,29.92,59.85,55.21,178.57,0.0
Barley,Peat,15.53,55.13,55.64,152.72,0.0
Rice,Sandy,18.98,48.76,10.87,236.89,0.0
Tomato,Sandy,39.31,61.41,62.23,278.29,0.0
Barley,Clay,35.73,42.69,0.05,161.64,0.0
Cotton,Loamy,27.17,47.88,38.68,227.34,0.0
Maize,Loamy,27.02,54.96,95.6,243.96,0.0
Rice,Loamy,40.51,64.57,49.02,33.75,1.69
Cotton,Clay,32.3,22.61,34.61,22.87,5.14
Maize,Sandy,18.83,88.08,52.3,9.8,0.0
Cotton,Clay,44.01,19.92,89.13,73.25,3.76
Sugarcane,Peat,25.87,32.76,21.28,77.32,0.0
Tomato,Peat,13.04,34.72,68.36,274.85,0.0
Rice,Peat,19.22,88.17,43.65,196.32,0.0
Rice,Clay,29.7,87.21,72.27,211.34,0.0
Wheat,Clay,30.46,68.23,55.52,11.03,2.33
Barley,Loamy,12.93,20.98,6.13,104.69,0.0
Wheat,Sandy,32.52,57.02,20.02,8.51,4.19
Soybean,Loamy,41.25,11.28,89.49,132.59,0.0
Soybean,Loamy,24.6,81.7,80.26,274.88,0.0
Barley,Silt,20.85,69.55,84.64,114.6,0.0
Tomato,Loamy,29.36,76.98,41.73,244.24,0.0
Rice,Peat,34.54,68.7,50.58,221.5,0.0
Sugarcane,Silt,32.83,83.11,5.3,239.37,0.0
Tomato,Loamy,28.41,15.2,42.47,173.17,0.0
Soybean,Loamy,27.45,54.9,68.73,122.42,0.0
Cotton,Silt,24.87,44.69,77.23,68.81,0.0
Tomato,Peat,28.71,16.39,11.17,202.35,0.0
Tomato,Silt,21.48,67.48,10.56,12.9,1.09
Rice,Loamy,33.08,62.0,44.99,61.06,0.0
Rice,Loamy,23.44,80.84,66.18,225.06,0.0
Tomato,Clay,37.54,33.9,98.13,125.28,0.0
Tomato,Sandy,41.91,33.22,41.97,218.66,0.0
Barley,Clay,34.61,28.69,96.65,266.05,0.0
Maize,Sandy,13.03,68.78,62.24,99.85,0.0
Cotton,Loamy,34.23,29.72,60.82,91.76,0.0
Cotton,Peat,20.76,71.19,11.73,117.54,0.0
Sugarcane,Clay,29.09,66.67,48.33,248.23,0.0
Maize,Clay,32.38,45.84,33.8,292.92,0.0
Cotton,Sandy,15.41,19.58,13.6,121.58,0.0
Barley,Peat,21.37,21.01,38.26,286.65,0.0
Maize,Sandy,42.13,76.95,71.14,53.37,0.0
Tomato,Loamy,25.15,25.53,21.49,95.85,0.0
Rice,Sandy,18.59,35.45,18.96,137.46,0.0
Tomato,Silt,44.6,64.61,41.25,93.48,0.0
Wheat,Silt,44.61,71.03,58.88,221.31,0.0
Cotton,Peat,32.99,83.93,41.57,89.6,0.0
Cotton,Silt,11.81,46.12,84.92,27.04,0.0
Sugarcane,Loamy,41.21,82.09,49.32,289.31,0.0
Rice,Sandy,34.58,80.76,1.56,91.02,0.0
Wheat,Clay,40.17,46.42,3.1,6.04,7.23
Sugarcane,Clay,34.64,75.92,13.7,0.76,3.38
Tomato,Loamy,42.35,12.15,68.8,47.86,8.0
Sugarcane,Loamy,14.5,12.71,6.72,268.39,0.0
Maize,Silt,44.33,61.47,85.96,97.91,0.0
Wheat,Clay,36.34,84.84,47.95,206.72,0.0
Cotton,Clay,11.44,26.13,86.79,81.43,0.0
Wheat,Silt,14.15,17.28,61.94,230.14,0.0
Rice,Silt,13.04,65.79,51.18,42.26,0.0
Soybean,Clay,23.0,13.91,29.03,136.42,0.0
Maize,Loamy,34.89,85.7,57.86,234.3,0.0
Sugarcane,Loamy,24.69,14.06,9.18,259.13,0.0
Sugarcane,Sandy,19.92,76.85,0.11,199.6,0.0
Barley,Loamy,37.61,80.46,10.07,285.93,0.0
Barley,Silt,11.26,36.61,48.81,120.92,0.0
Cotton,Sandy,39.7,27.17,82.06,28.07,5.81
Soybean,Peat,39.18,28.58,64.36,143.68,0.0
Wheat,Silt,33.18,35.92,44.57,285.67,0.0
Rice,Clay,34.64,37.51,87.12,139.45,0.0
Maize,Loamy,28.11,76.13,8.29,210.11,0.0
Barley,Loamy,11.52,72.48,66.47,58.09,0.0
Barley,Clay,30.6,80.82,31.73,101.53,0.0
Rice,Silt,23.05,33.84,89.72,1.76,5.89
Soybean,Peat,37.54,65.46,31.63,148.81,0.0
Sugarcane,Silt,35.25,13.06,9.51,197.95,0.0
Soybean,Clay,32.44,25.17,42.52,82.91,0.0
Wheat,Clay,26.97,62.62,66.1,165.44,0.0
Maize,Peat,27.94,56.0,31.83,11.37,2.96
Tomato,Silt,23.38,63.84,60.2,225.52,0.0
Cotton,Sandy,25.67,64.46,77.65,257.08,0.0
Soybean,Sandy,22.37,81.77,73.44,55.72,0.0
Tomato,Peat,17.72,74.23,53.78,234.25,0.0
Sugarcane,Peat,37.35,84.11,43.55,137.78,0.0
Rice,Loamy,43.02,68.54,6.87,49.73,0.0
Barley,Sandy,20.24,81.84,21.91,298.29,0.0
Soybean,Silt,23.08,39.2,71.96,2.46,4.21
Barley,Sandy,11.08,41.07,64.41,189.89,0.0
Maize,Clay,29.97,12.6,92.73,102.36,0.0
Wheat,Loamy,35.41,35.04,33.55,255.88,0.0
Cotton,Sandy,34.24,79.18,47.61,98.25,0.0
Maize,Sandy,20.3,19.45,27.54,129.13,0.0
Maize,Peat,35.09,15.05,75.07,32.11,6.73
Soybean,Silt,22.94,22.26,60.53,191.76,0.0
Maize,Sandy,37.97,31.36,12.32,260.8,0.0
Maize,Sandy,38.94,32.51,41.72,110.24,0.0
Sugarcane,Sandy,35.08,18.5,61.21,291.36,0.0
Cotton,Peat,31.89,83.18,7.69,29.33,0.0
Rice,Clay,32.57,19.86,16.26,49.12,4.55
Barley,Silt,17.12,46.12,36.31,248.53,0.0
Sugarcane,Peat,24.81,44.78,44.29,124.58,0.0
Barley,Silt,13.28,27.48,28.05,28.73,0.3
Cotton,Clay,41.24,82.99,11.49,117.64,0.0
Tomato,Peat,40.04,58.95,2.89,278.91,0.0
Cotton,Sandy,28.15,65.73,44.79,202.46,0.0
Tomato,Silt,44.53,33.5,18.29,140.72,0.0
Barley,Peat,24.75,25.43,53.22,272.41,0.0
Maize,Sandy,12.9,70.44,91.03,272.01,0.0
Barley,Peat,17.05,60.59,30.33,277.89,0.0
Barley,Sandy,19.01,55.72,83.43,216.99,0.0
Rice,Loamy,27.62,38.73,73.8,17.87,4.62
Sugarcane,Sandy,18.85,44.58,84.97,155.78,0.0
Sugarcane,Silt,38.56,38.68,24.2,2.05,9.6
Soybean,Sandy,21.51,66.22,46.21,89.77,0.0
Maize,Clay,39.4,51.33,37.08,253.0,0.0
Sugarcane,Clay,35.65,31.9,22.19,87.53,0.0
Rice,Peat,42.1,32.05,16.06,46.24,5.89
Tomato,Loamy,22.36,84.94,21.02,21.95,0.0
Sugarcane,Clay,41.45,67.02,56.5,258.12,0.0
Barley,Peat,18.43,34.68,42.72,197.91,0.0
Cotton,Sandy,44.7,17.56,62.49,22.89,8.5
Tomato,Clay,18.89,63.22,33.41,40.82,0.0
Rice,Clay,20.42,81.47,69.65,184.83,0.0
Soybean,Peat,29.87,15.12,46.87,1.66,7.87
Wheat,Loamy,27.05,81.18,46.92,37.47,0.0
Barley,Loamy,28.1,56.77,92.14,297.54,0.0
Sugarcane,Loamy,40.69,32.79,51.0,87.7,0.43
Wheat,Silt,19.95,74.38,19.79,231.03,0.0
Maize,Peat,20.48,75.62,70.28,117.8,0.0
Barley,Peat,18.49,76.5,70.11,186.83,0.0
Cotton,Sandy,22.36,43.58,40.61,177.82,0.0
Wheat,Loamy,40.54,78.65,32.96,95.68,0.0
Sugarcane,Peat,43.5,50.24,11.59,99.11,0.0
Wheat,Sandy,33.25,18.45,82.54,25.91,7.09
Maize,Peat,13.82,64.13,19.87,109.39,0.0
Sugarcane,Loamy,28.69,23.69,9.55,149.15,0.0
Maize,Silt,36.79,43.25,82.34,88.07,0.0
Maize,Clay,30.77,10.94,18.44,187.05,0.0
Soybean,Peat,17.34,86.02,70.7,178.77,0.0
Rice,Loamy,22.33,71.36,21.91,212.45,0.0
Soybean,Peat,10.94,40.42,94.24,273.06,0.0
Barley,Loamy,24.25,25.32,22.57,15.24,4.06
Wheat,Silt,35.86,71.48,59.3,95.41,0.0
Rice,Clay,41.38,64.24,24.27,291.07,0.0
Maize,Loamy,18.74,28.63,82.0,286.07,0.0
Rice,Peat,21.94,31.87,89.76,14.04,4.29
Rice,Clay,36.59,55.14,22.91,290.23,0.0
Tomato,Clay,35.29,38.66,58.29,261.08,0.0
Barley,Peat,42.12,70.3,26.7,191.72,0.0
Sugarcane,Silt,23.55,19.45,79.78,173.14,0.0
Wheat,Sandy,32.89,23.02,97.64,4.13,8.83
Rice,Silt,29.75,13.66,82.55,26.72,7.07
Rice,Clay,40.42,24.36,58.0,21.02,9.71
Sugarcane,Sandy,10.01,33.94,7.08,273.17,0.0
Maize,Clay,19.94,77.59,55.35,62.71,0.0
Sugarcane,Loamy,25.43,64.55,35.94,46.53,0.0
Rice,Sandy,14.67,72.82,41.68,247.6,0.0
Barley,Silt,40.39,27.06,48.16,46.98,4.61
Soybean,Loamy,26.31,21.17,27.63,28.26,3.88
Tomato,Clay,27.13,82.51,81.9,298.18,0.0
Wheat,Sandy,29.05,68.43,44.85,204.74,0.0
Cotton,Loamy,21.0,59.68,81.54,83.4,0.0
Maize,Loamy,12.13,88.06,57.97,286.71,0.0
Wheat,Loamy,14.77,10.96,33.86,64.29,0.0
Sugarcane,Silt,37.51,10.86,64.52,61.43,6.25
Cotton,Sandy,36.76,29.39,19.37,1.93,7.19
Wheat,Peat,26.18,13.02,4.54,284.75,0.0
Soybean,Loamy,35.36,31.22,36.96,175.28,0.0
Barley,Sandy,13.1,17.32,98.09,269.92,0.0
Tomato,Clay,18.36,29.86,85.19,65.89,0.0
Barley,Peat,32.62,66.31,14.82,176.22,0.0
Cotton,Silt,38.38,63.66,78.14,145.41,0.0
Maize,Clay,15.6,83.05,62.52,91.9,0.0
Wheat,Peat,35.63,56.23,55.71,185.84,0.0
Wheat,Silt,44.13,54.95,90.6,149.79,0.0
Cotton,Silt,21.44,52.17,36.46,165.23,0.0
Sugarcane,Silt,29.37,66.26,65.2,4.06,3.62
Sugarcane,Loamy,10.03,88.2,26.4,99.07,0.0
Barley,Silt,35.67,77.25,84.73,47.03,0.0
Rice,Peat,44.5,81.61,35.6,57.89,0.0
Tomato,Sandy,21.29,29.97,18.04,130.03,0.0
Maize,Sandy,30.7,65.97,12.7,9.66,2.52
Maize,Loamy,29.71,53.78,60.43,270.54,0.0
Barley,Peat,30.17,60.63,8.03,40.26,0.0
Rice,Peat,27.99,63.54,9.37,60.04,0.0
Wheat,Silt,41.01,49.61,88.39,98.08,0.0
Wheat,Peat,18.02,32.56,14.7,141.29,0.0
Barley,Peat,44.01,76.26,36.35,138.81,0.0
Cotton,Silt,25.34,56.04,0.51,258.75,0.0
Wheat,Loamy,17.67,69.68,80.41,31.12,0.0
Tomato,Peat,30.19,73.05,13.49,259.86,0.0
Cotton,Peat,35.33,43.53,74.85,169.82,0.0
Maize,Peat,25.35,26.33,62.58,170.05,0.0
Maize,Loamy,38.73,51.73,80.74,185.7,0.0
Wheat,Silt,14.04,88.18,88.64,70.9,0.0
Tomato,Peat,43.18,58.18,55.74,89.51,0.0
Maize,Clay,44.99,69.19,94.66,205.53,0.0
Wheat,Clay,19.56,47.95,10.04,209.16,0.0
Cotton,Loamy,14.66,41.03,12.81,232.38,0.0
Soybean,Loamy,35.22,55.5,73.34,93.07,0.0
Sugarcane,Loamy,38.71,11.8,14.72,241.95,0.0
Cotton,Clay,35.35,84.47,6.72,95.36,0.0
Sugarcane,Loamy,40.08,32.05,94.58,38.11,6.58
Soybean,Sandy,33.36,77.2,59.51,267.59,0.0
Tomato,Peat,22.84,82.06,1.7,191.58,0.0
Tomato,Peat,22.5,42.48,71.68,50.93,0.0
Tomato,Clay,29.52,14.79,54.9,39.16,4.69
Maize,Sandy,37.44,19.49,81.5,12.43,8.8
Cotton,Peat,41.57,67.64,86.03,105.62,0.0
Soybean,Silt,13.64,13.5,19.48,179.97,0.0
Sugarcane,Peat,28.53,69.82,90.79,63.66,0.0
Maize,Clay,32.7,57.6,13.49,145.87,0.0
Cotton,Silt,43.29,49.05,44.89,7.53,5.61
Wheat,Sandy,40.28,32.2,49.93,267.72,0.0
Barley,Silt,21.17,10.96,46.96,138.3,0.0
Sugarcane,Silt,10.4,27.82,30.28,282.81,0.0
Sugarcane,Peat,22.81,34.82,95.55,45.54,0.5
Rice,Sandy,34.03,21.88,80.75,58.88,3.57
Cotton,Peat,31.39,56.75,66.92,5.86,3.35
Wheat,Loamy,29.33,73.86,44.23,87.86,0.0
Maize,Loamy,10.14,18.89,13.15,156.87,0.0
Barley,Silt,15.55,75.14,16.13,246.63,0.0
Maize,Silt,39.93,69.24,52.6,199.51,0.0
Wheat,Silt,30.71,85.01,95.08,181.54,0.0
Rice,Silt,38.39,81.83,33.37,169.99,0.0
Soybean,Loamy,18.18,87.77,66.68,85.88,0.0
Rice,Clay,13.87,12.95,42.73,169.47,0.0
Maize,Loamy,42.07,81.76,82.68,245.43,0.0
Cotton,Sandy,34.97,34.59,36.42,8.86,5.73
Maize,Sandy,43.82,59.43,97.67,284.66,0.0
Tomato,Clay,33.36,66.76,59.77,190.79,0.0
Maize,Peat,24.83,72.63,42.55,115.04,0.0
Soybean,Sandy,16.02,48.09,85.49,232.65,0.0
Tomato,Loamy,18.06,21.79,7.42,160.85,0.0
Maize,Loamy,30.6,49.0,71.83,141.15,0.0
Sugarcane,Peat,34.53,36.23,55.48,53.92,2.43
Barley,Peat,22.03,46.99,4.96,147.53,0.0
Sugarcane,Sandy,24.57,72.9,81.83,28.14,0.0
Barley,Sandy,30.06,84.25,8.47,257.05,0.0
Cotton,Peat,29.64,14.51,1.62,132.8,0.0
Rice,Peat,39.36,69.19,97.06,85.26,0.0
Barley,Sandy,36.2,62.53,64.56,62.76,0.0
Wheat,Loamy,37.94,36.75,90.6,282.94,0.0
Sugarcane,Loamy,26.43,71.43,3.86,73.71,0.0
Wheat,Silt,44.47,56.49,31.44,42.65,2.4
Tomato,Silt,31.82,89.86,46.38,15.89,0.0
Barley,Loamy,33.75,24.66,80.34,123.43,0.0
Barley,Loamy,16.51,40.41,28.57,125.07,0.0
Tomato,Silt,23.58,48.93,78.66,97.75,0.0
Wheat,Sandy,27.82,60.81,82.86,30.19,0.68
Cotton,Peat,23.73,46.49,58.3,217.84,0.0
Sugarcane,Loamy,34.9,86.83,84.7,75.3,0.0
Sugarcane,Clay,11.34,50.79,47.36,58.35,0.0
Soybean,Silt,40.7,17.06,86.59,213.85,0.0
Soybean,Sandy,17.65,52.41,84.89,240.69,0.0
Wheat,Sandy,38.94,20.08,24.64,11.01,10.2
Wheat,Loamy,30.7,54.96,6.79,298.6,0.0
Rice,Loamy,43.7,45.4,70.67,275.35,0.0
Wheat,Sandy,40.27,86.4,0.0,50.86,0.0
Tomato,Silt,11.21,34.35,2.42,293.09,0.0
Rice,Sandy,36.49,50.5,2.1,270.13,0.0
Soybean,Clay,32.3,53.03,10.05,214.58,0.0
Sugarcane,Sandy,31.06,29.79,38.41,177.05,0.0
Wheat,Silt,26.36,29.64,65.52,105.24,0.0
Soybean,Silt,28.35,52.88,51.93,245.87,0.0
Sugarcane,Clay,23.71,10.99,22.8,18.59,6.47
Wheat,Sandy,42.72,53.63,50.06,170.67,0.0
Sugarcane,Sandy,43.76,32.45,83.88,187.15,0.0
Barley,Peat,29.75,51.59,59.13,169.81,0.0
Maize,Silt,32.95,59.8,84.0,193.52,0.0
Rice,Loamy,16.99,13.94,94.26,262.47,0.0
Cotton,Clay,11.53,46.9,71.15,57.73,0.0
Barley,Peat,34.36,56.6,19.58,198.55,0.0
Tomato,Loamy,27.28,51.56,37.46,136.56,0.0
Maize,Clay,40.56,47.8,0.43,7.11,6.35
Cotton,Loamy,17.66,87.37,22.74,7.64,0.0
Tomato,Loamy,23.42,25.27,43.25,115.3,0.0
Soybean,Sandy,16.75,89.88,76.93,145.97,0.0
Tomato,Loamy,16.23,57.15,84.16,55.31,0.0
Barley,Sandy,10.4,61.4,32.06,105.63,0.0
Barley,Loamy,31.61,84.23,46.18,107.81,0.0
Wheat,Peat,16.77,30.74,40.57,138.53,0.0
Soybean,Sandy,28.22,37.72,30.44,78.79,0.0
Rice,Peat,44.06,21.1,1.44,153.74,0.0
Barley,Loamy,26.69,28.33,85.02,179.39,0.0
Wheat,Clay,40.34,87.51,72.59,184.44,0.0
Wheat,Peat,39.99,50.45,49.16,138.13,0.0
Maize,Sandy,27.05,36.74,12.38,0.7,5.63
Soybean,Sandy,42.23,86.63,5.75,161.77,0.0
Tomato,Loamy,33.47,37.05,58.22,107.42,0.0
Maize,Clay,34.8,18.36,19.63,91.97,0.27
Maize,Peat,21.3,87.21,39.55,56.59,0.0
Cotton,Silt,24.05,44.74,63.57,209.17,0.0
Rice,Clay,24.96,50.37,38.71,250.87,0.0
Maize,Peat,39.87,60.55,37.72,295.21,0.0
Cotton,Clay,39.46,29.11,0.18,201.33,0.0
Sugarcane,Clay,39.49,48.34,92.23,61.25,0.84
Rice,Silt,25.05,17.25,4.6,13.11,6.72
Wheat,Loamy,33.99,60.86,29.47,126.27,0.0
Tomato,Loamy,20.59,37.96,8.17,267.81,0.0
Tomato,Clay,33.09,55.42,51.87,13.56,3.74
Cotton,Clay,31.53,58.08,66.99,147.72,0.0
Sugarcane,Clay,25.69,47.61,20.47,104.95,0.0
Wheat,Clay,21.81,40.85,81.7,232.64,0.0
Barley,Sandy,27.02,12.02,82.84,43.54,3.21
Soybean,Loamy,29.86,88.39,58.16,55.62,0.0
Tomato,Sandy,22.05,76.41,59.88,64.31,0.0
Barley,Clay,14.88,18.85,26.22,291.82,0.0
Tomato,Clay,30.63,14.02,62.9,2.27,8.98
Sugarcane,Peat,42.11,43.38,48.45,228.12,0.0
Tomato,Clay,42.23,46.23,56.23,211.52,0.0
Sugarcane,Peat,32.2,42.84,51.49,81.47,0.0
Maize,Sandy,34.61,78.83,63.66,170.97,0.0
Tomato,Clay,12.69,51.45,43.05,79.44,0.0
Wheat,Peat,41.53,59.83,21.73,48.5,0.78
Tomato,Peat,12.69,70.24,38.43,153.56,0.0
Sugarcane,Peat,10.62,81.81,96.52,279.11,0.0
Rice,Loamy,23.1,89.45,87.06,241.01,0.0
Sugarcane,Clay,28.14,75.94,86.13,107.35,0.0
Maize,Sandy,26.34,85.77,32.63,277.98,0.0
Barley,Peat,42.06,47.57,4.14,101.47,0.0
Sugarcane,Loamy,18.8,20.55,70.47,173.37,0.0
Maize,Loamy,41.04,61.41,12.68,105.04,0.0
Maize,Loamy,35.13,42.32,98.39,13.89,5.37
Soybean,Clay,28.63,48.18,29.26,189.57,0.0
Wheat,Clay,16.64,68.2,54.45,181.87,0.0
Cotton,Sandy,19.22,56.4,9.95,60.23,0.0
Wheat,Silt,19.39,22.51,30.09,106.79,0.0
Cotton,Sandy,14.25,45.34,12.76,18.14,0.66
Maize,Sandy,29.07,18.19,20.39,253.51,0.0
Wheat,Silt,39.84,53.63,57.02,264.94,0.0
Cotton,Sandy,43.99,37.9,91.46,127.05,0.0
Maize,Sandy,12.15,71.63,46.96,61.68,0.0
Sugarcane,Peat,26.64,81.22,33.4,246.46,0.0
Wheat,Clay,30.53,39.92,72.67,233.29,0.0
Cotton,Clay,31.39,63.18,53.87,188.35,0.0
Maize,Sandy,38.52,31.61,69.01,47.47,4.03
Soybean,Loamy,12.34,26.92,94.11,21.03,0.86
Rice,Peat,35.12,47.5,80.03,51.66,1.18
Cotton,Loamy,20.65,59.46,49.06,19.51,0.71
Soybean,Peat,29.2,39.38,41.55,82.45,0.0
Rice,Loamy,24.95,15.94,70.92,210.51,0.0
Cotton,Peat,10.85,18.53,70.92,250.18,0.0
Barley,Silt,37.97,21.19,84.37,273.01,0.0
Sugarcane,Silt,31.91,42.43,8.24,59.78,0.18
Sugarcane,Peat,31.7,29.8,33.35,218.59,0.0
Rice,Sandy,40.4,35.22,13.55,139.84,0.0
Barley,Sandy,10.71,23.27,87.7,227.47,0.0
Rice,Clay,21.5,59.83,97.93,243.39,0.0
Soybean,Peat,27.09,56.0,34.97,171.33,0.0
Maize,Peat,36.54,62.99,26.82,175.48,0.0
Cotton,Sandy,23.18,24.58,52.52,55.85,0.21
Rice,Clay,16.62,19.64,19.8,125.77,0.0
Tomato,Loamy,17.0,89.13,46.09,112.59,0.0
Soybean,Sandy,26.15,15.4,23.13,26.15,4.52
Rice,Loamy,44.7,11.63,90.46,147.14,0.0
Barley,Clay,13.1,79.58,41.19,291.97,0.0
Rice,Peat,16.32,52.83,7.43,282.34,0.0
Rice,Sandy,31.38,44.58,73.81,288.19,0.0
Sugarcane,Clay,16.27,38.9,44.63,198.1,0.0
Tomato,Silt,21.83,35.67,27.34,205.32,0.0
Sugarcane,Loamy,36.48,17.39,28.14,235.21,0.0
Wheat,Loamy,37.33,87.61,83.09,91.95,0.0
Rice,Peat,13.6,61.05,7.72,251.92,0.0
Cotton,Peat,37.59,36.7,6.54,166.5,0.0
Barley,Silt,33.26,89.47,16.33,9.9,0.16
Cotton,Sandy,31.88,76.69,81.57,195.73,0.0
Cotton,Clay,27.18,77.22,88.71,60.33,0.0
Rice,Silt,10.1,77.71,88.0,170.98,0.0
Rice,Silt,23.72,38.86,42.14,42.36,0.72
Sugarcane,Peat,37.85,18.81,77.42,293.16,0.0
Barley,Peat,13.46,22.69,13.1,0.66,3.06
Barley,Clay,16.31,68.37,13.56,144.15,0.0
Cotton,Clay,34.76,66.24,74.3,260.8,0.0
Soybean,Clay,32.0,19.23,79.8,272.49,0.0
Cotton,Loamy,42.89,18.61,0.51,84.79,2.68
Cotton,Peat,31.14,21.31,63.73,70.94,0.91
Tomato,Sandy,40.68,74.27,51.84,207.08,0.0
Barley,Clay,40.54,67.92,84.33,39.59,0.34
Cotton,Clay,40.62,11.33,5.29,58.62,5.22
Wheat,Sandy,28.79,45.78,21.78,108.77,0.0
Cotton,Silt,15.53,28.04,19.24,121.8,0.0
Soybean,Loamy,33.92,26.27,18.41,230.27,0.0
Rice,Clay,24.09,11.46,58.85,253.38,0.0
Wheat,Silt,29.18,61.71,64.95,127.36,0.0
Maize,Peat,25.82,65.88,26.36,125.13,0.0
Barley,Peat,17.52,83.6,10.65,224.12,0.0
Barley,Sandy,37.56,16.15,26.73,112.89,0.0
Tomato,Loamy,21.22,88.76,61.23,233.01,0.0
Tomato,Loamy,30.19,33.43,30.45,47.87,2.01
Cotton,Sandy,35.38,69.5,28.92,119.07,0.0
Soybean,Silt,40.32,58.84,55.45,247.08,0.0
Soybean,Peat,27.74,51.2,8.94,75.22,0.0
Barley,Loamy,31.87,33.82,99.48,219.52,0.0
Barley,Silt,10.95,72.57,97.82,151.69,0.0
Sugarcane,Loamy,31.78,78.7,35.95,195.8,0.0
Tomato,Loamy,20.64,34.77,9.42,45.29,0.0
Rice,Loamy,23.12,42.17,69.7,250.93,0.0
Rice,Loamy,11.82,62.55,71.42,229.0,0.0
Cotton,Clay,40.48,34.43,56.6,246.18,0.0
Barley,Clay,31.05,34.53,6.29,4.23,5.72
Maize,Loamy,41.41,83.34,67.62,147.86,0.0
Soybean,Silt,26.94,39.58,59.61,278.38,0.0
Maize,Silt,38.3,59.74,88.29,166.78,0.0
Wheat,Peat,37.15,69.6,71.62,225.15,0.0
Maize,Peat,38.96,66.69,7.87,282.48,0.0
Cotton,Peat,13.83,84.77,7.82,207.54,0.0
Rice,Sandy,21.26,64.2,82.74,158.55,0.0
Sugarcane,Loamy,39.62,89.21,34.3,262.88,0.0
Wheat,Loamy,32.78,36.15,36.49,136.52,0.0
Soybean,Peat,29.55,53.14,40.51,165.61,0.0
Sugarcane,Silt,42.24,36.67,17.54,149.24,0.0
Maize,Peat,11.18,20.7,30.34,107.73,0.0
Tomato,Clay,24.64,32.66,27.1,299.21,0.0
Maize,Peat,28.25,52.76,92.05,258.08,0.0
Tomato,Clay,16.59,30.32,89.73,99.5,0.0
Sugarcane,Clay,37.95,47.8,61.86,59.88,0.77
Wheat,Loamy,43.48,67.98,13.26,123.88,0.0
Sugarcane,Silt,22.01,88.89,15.6,96.62,0.0
Soybean,Silt,19.57,43.7,83.41,108.73,0.0
Soybean,Silt,16.9,26.06,85.03,25.2,1.56
Cotton,Peat,40.05,37.65,63.34,58.39,2.11
Sugarcane,Sandy,35.1,71.36,45.62,181.04,0.0
Rice,Clay,42.94,64.89,86.33,88.96,0.0
Sugarcane,Loamy,29.56,17.62,72.39,73.95,0.9
Sugarcane,Loamy,32.44,71.34,31.78,106.2,0.0
Barley,Peat,41.66,74.94,86.17,191.29,0.0
Tomato,Loamy,13.62,62.23,6.61,244.38,0.0
Barley,Loamy,17.75,89.46,65.68,143.7,0.0
Maize,Loamy,13.9,25.11,95.03,236.78,0.0
Soybean,Sandy,21.93,15.12,49.47,60.29,0.17
Tomato,Peat,30.88,21.03,30.04,4.09,8.11
Sugarcane,Clay,16.25,13.17,86.43,268.36,0.0
Rice,Clay,11.93,13.48,87.95,194.76,0.0
Tomato,Sandy,41.46,55.8,54.88,217.25,0.0
Cotton,Silt,40.87,38.62,79.68,256.11,0.0
Barley,Sandy,18.24,23.7,87.51,266.9,0.0
Maize,Loamy,15.26,26.01,77.24,204.27,0.0
Tomato,Silt,29.88,83.89,91.77,99.27,0.0
Rice,Clay,28.37,15.63,88.26,208.88,0.0
Cotton,Peat,39.55,46.54,23.61,57.24,1.13
Tomato,Clay,24.56,45.7,4.95,286.64,0.0
Soybean,Sandy,15.42,81.06,61.07,149.67,0.0
Wheat,Silt,42.32,56.71,6.17,100.86,0.0
Sugarcane,Silt,33.61,68.47,84.43,65.43,0.0
Maize,Peat,30.52,84.94,31.57,285.33,0.0
Soybean,Loamy,40.0,17.82,94.94,241.3,0.0
Cotton,Sandy,11.76,64.37,81.94,171.09,0.0
Wheat,Silt,35.76,59.12,10.78,278.2,0.0
Maize,Clay,10.11,60.15,42.16,179.87,0.0
Sugarcane,Clay,24.79,46.22,18.98,158.77,0.0
Tomato,Silt,18.97,30.45,66.1,84.87,0.0
Wheat,Clay,34.91,30.24,56.36,168.07,0.0
Tomato,Peat,12.56,48.27,61.17,72.87,0.0
Barley,Loamy,31.31,31.72,50.82,79.42,0.0
Maize,Clay,27.33,60.81,68.94,249.21,0.0
Barley,Loamy,29.61,30.25,86.25,241.7,0.0
Soybean,Peat,22.21,43.7,84.56,27.88,1.31
Soybean,Peat,37.02,84.54,52.87,192.14,0.0
Soybean,Silt,16.32,81.22,95.44,147.24,0.0
Sugarcane,Silt,17.53,24.4,72.23,293.12,0.0
Tomato,Peat,44.37,43.17,84.7,79.22,0.51
Cotton,Silt,40.93,22.31,89.84,106.71,0.0
